drug,frequency
琥珀酸亚铁,6
马来酸氨氯地平片,6
莫匹罗星软膏,6
凝结芽孢杆菌,6
丙硫氧嘧啶,6
左乙拉西坦片,6
甘桔冰梅片,6
贝那鲁肽,6
胃康胶囊,6
沙利度胺,6
他克莫司胶囊,6
长秀霖胰岛素,6
开塞露,6
一清胶囊,6
单硝酸异山梨脂,6
钙剂,6
西酞普兰,6
苯扎贝特分散片,6
氟伐他汀缓释片,6
塞利尼索,5
速效救心丸,5
倍他司汀口服液,5
升白药,5
复方氨基酸胶囊,5
升血小板胶囊,5
盐酸普罗帕酮片,5
聚乙二醇,5
阿尔法骨化醇软胶囊,5
依托必利,5
伏立康唑,5
雷公藤,5
荜铃胃痛颗粒,5
茶碱缓释片,5
罗沙司他胶囊,5
雷尼替丁,5
药用炭片,5
地屈孕酮,5
别嘌醇,5
布林佐胺滴眼液,5
谷维素片,5
蛋白琥珀酸铁口服溶液,5
马来酸依那普利,5
腺苷钴胺,4
维奈克拉,4
尼卡地平缓释胶囊,4
阿比特龙,4
金莲清热泡腾片,4
糠酸莫米松鼻喷雾剂,4
麦咪康帕,4
拉西地平片,4
曲安奈德益康唑乳膏,4
伊曲康唑胶囊,4
托伐普坦片,4
溴隐亭,4
鼻敏灵,4
索利那新,4
狗皮膏,4
枸橼酸铋雷尼替丁,4
蒙脱石散,4
痛风定胶囊,4
比格列酮,4
醋酸去氨加压素,4
柳氮磺吡啶,4
苦参凝胶,4
环孢素软胶囊,4
开同,4
消栓通络胶囊,4
吲哒帕胺,4
格列吡嗪控释片,4
盐酸吡格列酮片,3
美沙拉秦缓释颗粒剂,3
洛哌丁胺胶囊,3
艾多沙班片,3
依托芬那酯凝胶,3
枣仁安神颗粒,3
通滞苏润江胶囊,3
氨酚曲马多片,3
达沙替尼,3
呋喹替尼,3
布替萘芬乳膏,3
米诺环素,3
维立西呱,3
氢化可的松,3
止疼药,3
圣约翰草,3
依洛尤单抗注射液,3
柴芩清宁胶囊,3
芪明颗粒,3
松龄血脉康胶囊,3
依托泊苷胶囊,3
复方磺胺甲噁唑,3
牛碱性成纤维细胞生长因子滴眼液,3
颈痛颗粒,3
乙酰半胱氨酸颗粒,3
贞芪扶正胶囊,3
甲氨蝶呤,3
普罗布考,3
骨化醇胶囊,3
氟替美维吸入粉,3
丙卡特罗,3
硫酸沙丁胺醇吸入气雾剂,3
特拉唑嗪片,3
阿帕替尼,3
尿毒清颗粒,3
羧甲基纤维素钠滴眼液,3
利多卡因凝胶贴膏,3
氨茶碱,3
骨疏康颗粒,3
氟康唑,3
扶正化瘀胶囊,3
唑来膦酸,3
利塞膦酸钠,3
来曲唑,3
奥氮平片,3
富马酸丙酚替诺福韦,3
盐酸西那卡塞片,3
达那唑胶囊,3
复方阿嗪米特肠溶片,3
咪唑斯汀缓释片,3
托拉塞米,2
来那度胺,2
乌美溴铵维兰特罗吸入粉雾剂,2
甘舒霖,2
拉莫三嗪,2
盐酸帕罗西汀片,2
醋酸泼尼松,2
盐酸美金刚片,2
泽布替尼,2
雷米普利,2
愈美甲麻敏糖浆,2
骨康胶囊,2
西那卡塞,2
血府逐瘀胶囊,2
胃复春片,2
莉芙敏,2
曲唑酮,2
头孢地尼,2
寒喘祖帕颗粒,2
拉贝洛尔,2
五酯胶囊,2
苯磺酸左氨氯地平片,2
苍耳子鼻炎滴丸,2
咪康唑,2
胃苏颗粒,2
溴吡斯的明,2
小檗胺,2
布地格福吸入气雾剂,2
振源胶囊,2
普拉克索片,2
依卡倍特钠,2
利福平,2
桉柠蒎肠溶胶囊,2
精蛋白锌重组赖脯胰岛素,2
盐酸奥洛他定片,2
复方活脑舒胶囊,2
阿托品膏,2
葡萄糖,2
复方氢氧化铝片,2
复方角菜酸酯栓,2
大活络胶囊,2
扶异,2
制霉素片,2
复方氨酚美沙糖浆,2
乳腺结节,2
止咳胶囊,2
甲氧氯普胺片,2
酚酞片,2
双氯芬酸二乙胺乳胶剂,2
重组人胰岛素注射液,2
卡波姆滴眼液,2
透明质酸,2
乌苯美司胶囊,2
湿润烧伤软膏,2
怡开,2
卡托普利,2
加巴喷丁,2
复方氯己定含漱液,2
尼群地平,2
清开灵胶囊,2
磷酸钙片,2
气滞胃痛颗粒,2
酸钙片,2
阿利西尤单抗注射液,2
多奈哌齐片,2
吲哚美辛,2
那格列奈,1
拉克替醇散,1
养血饮口服液,1
安罗替尼,1
BTK抑制剂,1
司美格鲁肽,1
酮康唑乳膏,1
桂枝茯苓丸,1
奥美地平片,1
维拉帕米,1
胃康复新液,1
马应龙麝香痔疮膏,1
伤科接骨片,1
哌拉西林他唑巴坦,1
布拉氏酵母菌散,1
人粒细胞集落刺激因子,1
喹硫平,1
洛芬待因片,1
氯替泼诺眼液,1
杏贝止咳颗粒,1
雌三醇软膏,1
索拉唑肠溶胶囊,1
替勃龙片,1
高锰酸钾,1
扶他林,1
聚苯乙烯磺酸钙,1
天舒胶囊,1
舒筋活血胶囊,1
达罗他胺,1
地加瑞克,1
拉米夫定,1
独一味片,1
环磷酰胺,1
美洛西康,1
益心舒胶囊,1
苄星青霉素,1
脑心通胶囊,1
诺和灵N,1
折麦布片,1
多塞平,1
生长激素,1
氮卓斯汀鼻喷雾剂,1
百蕊颗粒,1
胆维丁乳,1
比卡鲁胺,1
利可君,1
胸腺法新,1
倍他乐克,1
维生素B2,1
氨麻美敏片,1
复合维生素B,1
硼酸洗液,1
润燥止痒胶囊,1
槐杞黄颗粒,1
固元膏,1
益母草,1
阿维A胶囊,1
依美斯汀滴眼液,1
米格列淳片,1
呋喃唑酮,1
果胶铋,1
巴氯芬片,1
心痛定,1
硫唑嘌呤,1
鲁拉西酮,1
劳拉西泮,1
诺和锐30,1
尼克地尔,1
替麦考芬,1
双嘧达莫,1
甘露醇,1
卡介苗,1
十一酸睾酮,1
切诺胶囊,1
欧龙马,1
法兰索拉唑,1
康胶囊,1
盐酸左氧氟沙星片,1
康艾扶正片,1
烟酰胺片,1
泛影葡胺,1
马来酸左旋氨氯地平片,1
前列舒通胶囊,1
安脑丸,1
甲硫咪唑,1
美西律片,1
尼洛替尼,1
拉坦前列素滴眼液,1
非奈利酮,1
富马酸福伏诺拉生片,1
复方可待因口吸液,1
丙酸氟替卡松鼻喷雾,1
达英-35,1
利那洛肽,1
亮丙瑞林,1
氨芬待因片,1
地塞米松,1
达肝素,1
金刚烷胺,1
普芦卡必利,1
金丹附延颗粒,1
精蛋白锌重组人胰岛素混合注射液,1
莫诺拉韦胶囊,1
来优时,1
氯苯那敏片,1
重组人干扰素a-2b凝胶,1
碳酸氢钠注射液,1
参仙升脉口服液,1
艾拉莫德,1
钾片,1
美金刚,1
坦索罗欣胶囊,1
卡马西平,1
干扰素凝胶,1
孢克洛缓释片,1
硫必利片,1
头孢克肟,1
福辛普利,1
麦考芬分散片,1
维生素D3,1
胆石利通片,1
优思灵,1
格华止,1
脑脉利颗粒,1
艾曲波帕,1
西酵母,1
戊酸钠缓释片,1
